case_id,event_n,activity_code,activity_name,start_time,stop_time,sex_label,PEEDUCA,education_label,GEREG,region_label,TUDIARYDAY,weekday_label,is_weekend
'20100101100520,1,1,Sleeping,04:00:00,07:00:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,2,11,Eating and drinking,07:00:00,09:00:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,3,18,Travel related to personal care,09:00:00,09:15:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,4,13,Doing aerobics,09:15:00,10:15:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,5,18,Travel related to personal care,10:15:00,10:25:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,6,7,Security procedures rel. to consumer purchases,10:25:00,10:55:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,7,18,Travel related to personal care,10:55:00,11:05:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,8,2,Interior cleaning,11:05:00,11:15:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,9,1,Sleeping,11:15:00,11:45:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,10,2,Interior cleaning,11:45:00,12:15:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,11,12,Socializing and communicating with others,12:15:00,12:45:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,12,18,Travel related to personal care,12:45:00,13:15:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,13,12,Socializing and communicating with others,13:15:00,16:00:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,14,18,Travel related to personal care,16:00:00,16:05:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,15,11,Eating and drinking,16:05:00,17:05:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,16,18,Travel related to personal care,17:05:00,17:35:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,17,12,Socializing and communicating with others,17:35:00,21:00:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100520,18,1,Sleeping,21:00:00,05:30:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,1,1,Sleeping,04:00:00,08:00:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,2,12,Socializing and communicating with others,08:00:00,09:30:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,3,2,Interior cleaning,09:30:00,09:40:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,4,11,Eating and drinking,09:40:00,10:00:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,5,12,Socializing and communicating with others,10:00:00,11:00:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,6,12,Socializing and communicating with others,11:00:00,12:30:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,7,13,Doing aerobics,12:30:00,13:15:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,8,2,Interior cleaning,13:15:00,13:45:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,9,12,Socializing and communicating with others,13:45:00,14:15:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,10,12,Socializing and communicating with others,14:15:00,17:00:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,11,11,Eating and drinking,17:00:00,18:30:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,12,12,Socializing and communicating with others,18:30:00,21:30:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,13,12,Socializing and communicating with others,21:30:00,22:00:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,14,12,Socializing and communicating with others,22:00:00,23:20:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100658,15,1,Sleeping,23:20:00,08:00:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101100920,1,1,Sleeping,04:00:00,07:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101100920,2,2,Interior cleaning,07:00:00,07:20:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101100920,3,12,Socializing and communicating with others,07:20:00,10:30:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101100920,4,12,Socializing and communicating with others,10:30:00,11:30:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101100920,5,2,Interior cleaning,11:30:00,13:30:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101100920,6,5,"Work, main job",13:30:00,14:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101100920,7,12,Socializing and communicating with others,14:00:00,18:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101100920,8,1,Sleeping,18:00:00,18:45:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101100920,9,2,Interior cleaning,18:45:00,19:45:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101100920,10,2,Interior cleaning,19:45:00,20:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101100920,11,12,Socializing and communicating with others,20:00:00,23:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101100920,12,1,Sleeping,23:00:00,07:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101236,1,1,Sleeping,04:00:00,08:30:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,2,12,Socializing and communicating with others,08:30:00,09:30:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,3,1,Sleeping,09:30:00,10:00:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,4,11,Eating and drinking,10:00:00,10:20:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,5,18,Travel related to personal care,10:20:00,10:40:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,6,7,Security procedures rel. to consumer purchases,10:40:00,11:10:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,7,18,Travel related to personal care,11:10:00,12:30:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,8,11,Eating and drinking,12:30:00,13:15:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,9,18,Travel related to personal care,13:15:00,13:20:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,10,12,Socializing and communicating with others,13:20:00,15:50:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,11,18,Travel related to personal care,15:50:00,16:05:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,12,12,Socializing and communicating with others,16:05:00,16:20:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,13,12,Socializing and communicating with others,16:20:00,19:10:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,14,18,Travel related to personal care,19:10:00,19:45:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,15,12,Socializing and communicating with others,19:45:00,21:00:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,16,12,Socializing and communicating with others,21:00:00,23:00:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,17,2,Interior cleaning,23:00:00,23:05:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,18,12,Socializing and communicating with others,23:05:00,01:05:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,19,12,Socializing and communicating with others,01:05:00,01:45:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,20,1,Sleeping,01:45:00,01:55:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101236,21,1,Sleeping,01:55:00,08:00:00,Male,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101423,1,1,Sleeping,04:00:00,08:00:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,2,2,Interior cleaning,08:00:00,08:05:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,3,11,Eating and drinking,08:05:00,08:15:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,4,1,Sleeping,08:15:00,08:30:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,5,18,Travel related to personal care,08:30:00,08:45:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,6,5,"Work, main job",08:45:00,08:47:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,7,18,Travel related to personal care,08:47:00,09:02:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,8,2,Interior cleaning,09:02:00,09:12:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,9,2,Interior cleaning,09:12:00,10:12:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,10,5,"Work, main job",10:12:00,10:17:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,11,16,Waiting associated with telephone calls,10:17:00,10:27:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,12,2,Interior cleaning,10:27:00,10:42:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,13,12,Socializing and communicating with others,10:42:00,12:00:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,14,11,Eating and drinking,12:00:00,12:15:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,15,12,Socializing and communicating with others,12:15:00,13:45:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,16,2,Interior cleaning,13:45:00,14:00:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,17,12,Socializing and communicating with others,14:00:00,15:00:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,18,12,Socializing and communicating with others,15:00:00,16:00:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,19,12,Socializing and communicating with others,16:00:00,17:00:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,20,2,Interior cleaning,17:00:00,17:15:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,21,2,Interior cleaning,17:15:00,18:00:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,22,11,Eating and drinking,18:00:00,18:20:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,23,2,Interior cleaning,18:20:00,18:45:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,24,12,Socializing and communicating with others,18:45:00,23:00:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101423,25,1,Sleeping,23:00:00,07:30:00,Female,44,Master’s degree,2,Midwest,6,Friday,FALSE
'20100101101742,1,1,Sleeping,04:00:00,07:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,2,11,Eating and drinking,07:00:00,07:15:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,3,12,Socializing and communicating with others,07:15:00,09:15:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,4,3,Physical care for hh children,09:15:00,10:15:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,5,2,Interior cleaning,10:15:00,11:15:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,6,12,Socializing and communicating with others,11:15:00,12:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,7,2,Interior cleaning,12:00:00,12:15:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,8,11,Eating and drinking,12:15:00,12:45:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,9,2,Interior cleaning,12:45:00,13:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,10,12,Socializing and communicating with others,13:00:00,14:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,11,1,Sleeping,14:00:00,15:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,12,3,Physical care for hh children,15:00:00,15:30:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,13,5,"Work, main job",15:30:00,16:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,14,2,Interior cleaning,16:00:00,16:30:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,15,1,Sleeping,16:30:00,17:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,16,11,Eating and drinking,17:00:00,17:45:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,17,3,Physical care for hh children,17:45:00,18:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,18,2,Interior cleaning,18:00:00,18:20:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,19,3,Physical care for hh children,18:20:00,18:50:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,20,3,Physical care for hh children,18:50:00,19:05:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,21,3,Physical care for hh children,19:05:00,19:35:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,22,2,Interior cleaning,19:35:00,19:50:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,23,3,Physical care for hh children,19:50:00,20:05:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,24,3,Physical care for hh children,20:05:00,20:10:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,25,12,Socializing and communicating with others,20:10:00,21:40:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101742,26,1,Sleeping,21:40:00,07:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100101101777,1,1,Sleeping,04:00:00,08:20:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,2,1,Sleeping,08:20:00,09:00:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,3,11,Eating and drinking,09:00:00,09:10:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,4,1,Sleeping,09:10:00,09:30:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,5,18,Travel related to personal care,09:30:00,09:35:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,6,15,"Attending meetings, conferences, & training",09:35:00,10:50:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,7,18,Travel related to personal care,10:50:00,10:55:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,8,11,Eating and drinking,10:55:00,11:25:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,9,12,Socializing and communicating with others,11:25:00,13:40:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,10,1,Sleeping,13:40:00,15:30:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,11,12,Socializing and communicating with others,15:30:00,17:15:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,12,2,Interior cleaning,17:15:00,18:30:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,13,11,Eating and drinking,18:30:00,19:15:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,14,2,Interior cleaning,19:15:00,19:40:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,15,12,Socializing and communicating with others,19:40:00,21:00:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,16,3,Physical care for hh children,21:00:00,21:10:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,17,3,Physical care for hh children,21:10:00,21:20:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,18,12,Socializing and communicating with others,21:20:00,22:50:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101777,19,1,Sleeping,22:50:00,06:00:00,Female,44,Master’s degree,2,Midwest,1,Sunday,TRUE
'20100101101864,1,1,Sleeping,04:00:00,08:30:00,Female,44,Master’s degree,2,Midwest,7,Saturday,TRUE
'20100101101864,2,11,Eating and drinking,08:30:00,08:35:00,Female,44,Master’s degree,2,Midwest,7,Saturday,TRUE
'20100101101864,3,15,"Attending meetings, conferences, & training",08:35:00,12:00:00,Female,44,Master’s degree,2,Midwest,7,Saturday,TRUE
'20100101101864,4,11,Eating and drinking,12:00:00,12:15:00,Female,44,Master’s degree,2,Midwest,7,Saturday,TRUE
'20100101101864,5,12,Socializing and communicating with others,12:15:00,12:55:00,Female,44,Master’s degree,2,Midwest,7,Saturday,TRUE
'20100101101864,6,15,"Attending meetings, conferences, & training",12:55:00,17:00:00,Female,44,Master’s degree,2,Midwest,7,Saturday,TRUE
'20100101101864,7,2,Interior cleaning,17:00:00,17:30:00,Female,44,Master’s degree,2,Midwest,7,Saturday,TRUE
'20100101101864,8,11,Eating and drinking,17:30:00,17:35:00,Female,44,Master’s degree,2,Midwest,7,Saturday,TRUE
'20100101101864,9,15,"Attending meetings, conferences, & training",17:35:00,22:00:00,Female,44,Master’s degree,2,Midwest,7,Saturday,TRUE
'20100101101864,10,1,Sleeping,22:00:00,04:00:00,Female,44,Master’s degree,2,Midwest,7,Saturday,TRUE
'20100101101981,1,1,Sleeping,04:00:00,07:30:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,2,1,Sleeping,07:30:00,08:05:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,3,11,Eating and drinking,08:05:00,09:05:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,4,14,Attending religious services,09:05:00,11:05:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,5,12,Socializing and communicating with others,11:05:00,12:35:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,6,11,Eating and drinking,12:35:00,12:45:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,7,12,Socializing and communicating with others,12:45:00,14:15:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,8,13,Doing aerobics,14:15:00,15:00:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,9,2,Interior cleaning,15:00:00,17:00:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,10,11,Eating and drinking,17:00:00,18:00:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,11,12,Socializing and communicating with others,18:00:00,20:00:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,12,2,Interior cleaning,20:00:00,20:45:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,13,16,Waiting associated with telephone calls,20:45:00,22:15:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101101981,14,1,Sleeping,22:15:00,05:45:00,Female,44,Master’s degree,3,South,1,Sunday,TRUE
'20100101102311,1,1,Sleeping,04:00:00,08:00:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,2,2,Interior cleaning,08:00:00,08:20:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,3,4,Physical care for nonhh children,08:20:00,09:20:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,4,2,Interior cleaning,09:20:00,10:00:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,5,2,Interior cleaning,10:00:00,10:20:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,6,1,Sleeping,10:20:00,11:05:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,7,16,Waiting associated with telephone calls,11:05:00,11:25:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,8,18,Travel related to personal care,11:25:00,11:55:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,9,12,Socializing and communicating with others,11:55:00,13:25:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,10,18,Travel related to personal care,13:25:00,13:55:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,11,11,Eating and drinking,13:55:00,14:55:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,12,18,Travel related to personal care,14:55:00,15:15:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,13,1,Sleeping,15:15:00,15:35:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,14,18,Travel related to personal care,15:35:00,15:50:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,15,8,Using paid childcare services,15:50:00,16:45:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,16,18,Travel related to personal care,16:45:00,16:50:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,17,7,Security procedures rel. to consumer purchases,16:50:00,17:10:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,18,18,Travel related to personal care,17:10:00,17:17:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,19,15,"Attending meetings, conferences, & training",17:17:00,17:27:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,20,18,Travel related to personal care,17:27:00,17:32:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,21,1,Sleeping,17:32:00,18:15:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,22,1,Sleeping,18:15:00,18:40:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,23,18,Travel related to personal care,18:40:00,18:50:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,24,15,"Attending meetings, conferences, & training",18:50:00,21:15:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,25,12,Socializing and communicating with others,21:15:00,21:35:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,26,18,Travel related to personal care,21:35:00,21:45:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,27,2,Interior cleaning,21:45:00,21:50:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,28,12,Socializing and communicating with others,21:50:00,22:20:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,29,2,Interior cleaning,22:20:00,22:35:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,30,4,Physical care for nonhh children,22:35:00,23:05:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,31,1,Sleeping,23:05:00,23:35:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100101102311,32,1,Sleeping,23:35:00,07:30:00,Female,44,Master’s degree,3,South,2,Monday,FALSE
'20100111090839,1,1,Sleeping,04:00:00,08:30:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,2,2,Interior cleaning,08:30:00,08:35:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,3,2,Interior cleaning,08:35:00,08:55:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,4,2,Interior cleaning,08:55:00,11:30:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,5,1,Sleeping,11:30:00,11:50:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,6,2,Interior cleaning,11:50:00,12:20:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,7,18,Travel related to personal care,12:20:00,12:40:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,8,16,Waiting associated with telephone calls,12:40:00,13:00:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,9,14,Attending religious services,13:00:00,13:30:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,10,18,Travel related to personal care,13:30:00,13:50:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,11,11,Eating and drinking,13:50:00,14:10:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,12,12,Socializing and communicating with others,14:10:00,16:10:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
'20100111090839,13,15,"Attending meetings, conferences, & training",16:10:00,16:12:00,Female,44,Master’s degree,3,South,7,Saturday,TRUE
